parameter,est,std.all,se,p,ci.lower,ci.upper
M1w,17.707,5.091,0.258,0,17.201,18.213
b_P1,-0.028,-0.062,0.005,0,-0.038,-0.018
M2w,16.722,5.075,0.245,0,16.242,17.202
b_P2,-0.017,-0.039,0.005,0,-0.026,-0.008
M3w,12.133,3.152,0.288,0,11.569,12.697
b_P3,-0.006,-0.012,0.006,0.278,-0.017,0.005
M4w,16.207,4.482,0.272,0,15.674,16.741
b_P4,-0.004,-0.009,0.005,0.438,-0.014,0.006
M5w,13.508,3.767,0.27,0,12.978,14.037
b_P5,-0.004,-0.008,0.005,0.484,-0.014,0.007
σ2age,57.897,1,0.988,0,55.96,59.834
σ2A1,5.033,1,0.304,0,4.437,5.63
σ2A2,4.53,1,0.265,0,4.01,5.05
σ2A3,6.843,1,0.348,0,6.16,7.526
σ2A4,6.702,1,0.3,0,6.114,7.289
σ2A5,6.673,1,0.281,0,6.122,7.225
σ2E1,7.018,1,0.275,0,6.479,7.558
σ2E2,6.311,1,0.24,0,5.839,6.782
σ2E3,7.974,1,0.305,0,7.376,8.572
σ2E4,6.374,1,0.251,0,5.883,6.866
σ2E5,6.185,1,0.234,0,5.727,6.643
σA12,3.529,0.739,0.234,0,3.071,3.987
σA13,3.21,0.547,0.248,0,2.725,3.696
σA14,2.978,0.513,0.231,0,2.525,3.43
σA15,4.003,0.691,0.229,0,3.553,4.452
σA23,4.282,0.769,0.245,0,3.802,4.761
σA24,2.864,0.52,0.216,0,2.442,3.287
σA25,3.763,0.684,0.216,0,3.34,4.186
σA34,3.039,0.449,0.242,0,2.565,3.514
σA35,4.014,0.594,0.243,0,3.537,4.491
σA45,3.909,0.585,0.224,0,3.47,4.348
σE12,3.472,0.522,0.208,0,3.064,3.881
σE13,2.546,0.34,0.218,0,2.119,2.972
σE14,2.517,0.376,0.2,0,2.126,2.908
σE15,2.728,0.414,0.195,0,2.346,3.11
σE23,3.171,0.447,0.212,0,2.755,3.587
σE24,2.311,0.364,0.186,0,1.947,2.676
σE25,2.648,0.424,0.184,0,2.288,3.008
σE34,2.277,0.319,0.205,0,1.874,2.679
σE35,2.72,0.387,0.204,0,2.32,3.12
σE45,2.265,0.361,0.183,0,1.907,2.624
M1m,16.383,4.71,0.261,0,15.871,16.894
M2m,15.959,4.843,0.247,0,15.474,16.443
M3m,12.931,3.359,0.291,0,12.361,13.501
M4m,13.388,3.702,0.275,0,12.849,13.927
M5m,12.576,3.507,0.273,0,12.041,13.11
