parameter,est,std.all,se,p,ci.lower,ci.upper
M1w,44.518,5.833,0.837,0,42.877,46.158
B1,-0.092,-0.092,0.016,0,-0.123,-0.06
M2w,16.573,7.421,0.168,0,16.244,16.903
B2,-0.011,-0.038,0.003,0.001,-0.018,-0.005
M3w,76.248,5.553,1.036,0,74.217,78.279
B3,-0.058,-0.032,0.02,0.004,-0.098,-0.019
σ2age,57.897,1,0.988,0,55.96,59.834
σ2A1,40.269,1,1.739,0,36.861,43.676
σ2A2,1.668,1,0.136,0,1.401,1.934
σ2A3,71.831,1,4.703,0,62.613,81.05
σ2E1,17.495,1,1.192,0,15.159,19.831
σ2E2,3.272,1,0.13,0,3.016,3.527
σ2E3,82.037,1,3.21,0,75.744,88.329
λA12,-0.016,-0.046,0.01,0.096,-0.035,0.003
λE12,0.042,0.079,0.019,0.03,0.004,0.08
λA13,0.55,0.254,0.056,0,0.439,0.66
λA23,3.303,0.311,0.355,0,2.607,3.999
λE13,-0.006,-0.002,0.1,0.95,-0.203,0.19
λE23,1.125,0.148,0.14,0,0.851,1.4
M1m,45.741,5.993,0.841,0,44.092,47.389
M2m,16.006,7.167,0.17,0,15.673,16.339
M3m,71.202,5.185,1.046,0,69.152,73.253
